customer_tweet_id,response_tweet_id,customer_text,customer_text_normalized,amazon_response,amazon_response_normalized
272,269,amazonのfireTVstickが見れない😢,amazonのfireTVstickが見れない😢,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,@user こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。 [URL] ET
325,324,amazonプライムビデオ、再生エラーが多いです,amazonプライムビデオ、再生エラーが多いです,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET,@user ご不便をおかけしております。アプリをご利用でしょうか。強制停止>端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。 [URL] ET
617,615,Way to drop the ball on customer service @115821 so pissed right now!,Way to drop the ball on customer service @user so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN","@user I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN"
616,618,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day","@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,@user We'd like to take a further look into this with you! Please reach us by phone or chat here: [URL] ^AG
621,620,@115823 I want my amazon payments account CLOSED.  dm me please.,@user I want my amazon payments account CLOSED. dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH","@user I am unable to affect your account via Twitter. For real time support, phone or chat use this link: [URL] ^CH"
624,622,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@user also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS","@user Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS"
623,625,"@AmazonHelp Okay, danke für die Info","@AmazonHelp Okay, danke für die Info",@115824 Wir haben zu danken. Schönen Abend noch. ^JS,@user Wir haben zu danken. Schönen Abend noch. ^JS
628,626,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@user How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,@user I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
627,629,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@AmazonHelp @user Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,@user Thanks for your patience. ^KM
632,631,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",@user my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!! [URL],@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,@user I'm sorry your order arrived in this condition! Please reach out to us for available options: [URL] ^DG
634,633,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@user @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,@user I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: [URL] ^SH
636,635,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043","Thanks for the style advice, @user look ...I think? #Halloween2017 #flamingo [URL]",@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,@user Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE
638,637,@AmazonHelp Hi ready for some help,@AmazonHelp Hi ready for some help,@115834 Were you able to reach us at the link DW provided? ^TR,@user Were you able to reach us at the link DW provided? ^TR
640,639,@AmazonHelp Is the Echo Show no longer supported?,@AmazonHelp Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW","@user The Echo Show is supported, please reach us for some live troubleshooting at your convenience: [URL] ^DW"
643,642,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","Bought an @user Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG","@user Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: [URL] ^SG"
646,644,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,. @AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out [URL],@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,@user I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: [URL] ^SY
645,647,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,@user You can also request a call back here Martin [URL] ^KM
649,648,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K","In response to your @user packing video, this packaging was for a 2ft washing line pole @user [URL]",@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,@user Thanks for bringing this to our attention! Please also leave packing feedback here: [URL] so we may improve.^KL
652,650,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,@user Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: [URL] ^SH
651,653,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL","@user Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL"
654,655,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,@user Provide your details here: [URL] and my team will escalate the order to Amazon Logistics for feedback. ^EZ
657,656,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.","@AmazonHelp Already handled, just venting. It was a pretty big bummer.",@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,@user Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR
659,658,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q","@user , it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… [URL] [URL]",@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,@user I'm sorry your book arrived this way! You can find replacement/refund options here: [URL] ^VS
661,660,@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,@user @user Feliz #Halloween2017 [URL],@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO,@user ¡Que lindoooooooooo! 😍🐶🎃 ^JJ [URL]
664,663,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge","@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge","@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL",@user Oh no! Please contact us via phone/chat here: [URL] We're unable to view order details via Twitter. ^KL
667,665,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su","Anna Inspired in idea lab at school to be @user package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. [URL]",@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,@user You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC
670,668,@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,@user They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,@user Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: [URL] & we'll be glad to help! ^FR
676,675,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,@user @user Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,@user That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: [URL] ^BN
681,680,@115821  https://t.co/Gb0beuA3IN,@user [URL],@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,@user I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: [URL] ^WM
686,684,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated & new status will be provided in 1 day!,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,@user Please share your details here: [URL] and I'll get back to you. 2/2 ^HD
685,687,@AmazonHelp Details sent. Please check.,@AmazonHelp Details sent. Please check.,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,@user Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB
690,689,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,@user @user @AmazonHelp @user Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,@user Please report this to our support team here: [URL] and we'll look into this. 2/2 ^HD
693,692,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,@user We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: [URL] ^MB
695,694,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,@user I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: [URL] ^BN
1695,1692,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,@user my order hasn’t arrived (it was due 14th October). Can you help?,@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,@user Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ
1693,1696,@AmazonHelp but I can’t find the options to cancel or re-order?,@AmazonHelp but I can’t find the options to cancel or re-order?,@116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,@user I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: [URL] ^AG
1699,1697,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? [URL],@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,@user Canceling your Prime membership can be done here: [URL] You'll be shown your estimated refund there. ^SK
